21702,NRTM-NRTZ-BS," Major in Natural Resource Tourism, Natural Resource Tourism Concentration"
21630,GEOL-GPYZ-BS," Major in Geology, Geophysics Concentration "
23090,ECSU-MS," Master of Science in Ecosystem Sustainability, Plan A"
23126,MRDF, Certificate in Market Research and Data Analytics 
23109,SLLF-CT, Graduate Certificate in Spanish Linguistics and Literary Studies
21622,GEOL-GEOZ-BS," Major in Geology, Geology Concentration"
24232,INBZ," Major in Business Administration, Supply Chain Management Concentration with International Business Concentration"
22764,ARTM-GRDZ-BF," Major in Art (BFA), Graphic Design Concentration"
22712,ELEG-BMEL-BS," Dual Degree Program: Biomedical Engineering, B.S. combined With Electrical Engineering,  B.S., Lasers and Optical Engineering Concentration"
22950,ACCY-TZ-MACC," Master of Accountancy, Plan C, Taxation Specialization"
21417,NSED-MNSE," Master of Natural Sciences Education, Plan C (M.N.S.E.)"
24241,INBZ," Major in Business Administration, Finance Concentration, Real Estate Finance Option with International Business Concentration"
23424,MSEG-MS," Master of Science in Materials Science and Engineering, Plan B"
22988,ECOL-MS," Master of Science in Ecology, Plan A"
21756,CNLR-GLOZ-MS," Master of Science in Conservation Leadership, Global Specialization, Plan A"
22481,POLS-ULPZ-BA," Major in Political Science, U.S Government, Law, and Policy Concentration"
23286,TLEF-CT, Graduate Certificate in TESOL Education
20803,CMST-MA," Master of Arts in Communication Studies, Plan A"
23177,PSYC-CCPZ-BS," Major in Psychology, Clinical/Counseling Psychology Concentration"
23194,CAMB-PHD, Ph.D. in Cell and Molecular Biology
21490,NSCI-PHSZ-BS," Major in Natural Sciences, Physical Science Concentration"
22963,MUSC-PERZ-BM," Major in Music, Performance Concentration, Piano Pedagogy Option"
21157,CPSQ, Minor in Computer Science
21035,FWCB-WDBZ-BS," Major in Fish, Wildlife, and Conservation Biology, Wildlife Biology Concentration"
22211,ILAR-BA, Major in Interdisciplinary Liberal Arts
20719,CIVE-SWRZ-BS," Major in Civil Engineering, Soil and Water Resource Engineering Concentration"
21309,ETSQ, Minor in Ethnic Studies
22077,BNRG-PHD, Ph.D. in Human Bioenergetics
23185,CNCD-SCCZ-MA," Master of Arts in Counseling and Career Development, Plan B, School Counseling Specialization"
23848,ANTH-AHWZ-MA," Master of Arts in Anthropology, Plan B, The Anthropology of Health and Well-Being Specialization"
22328,AGBU-BS, Major in Agricultural Business
23427,NUSF-CT, Graduate Certificate in Nutrition Sciences
24229,INBZ," Major in Business Administration, Organization and Innovation Management Concentration with International Business Concentration"
22851,CIM-EUOST-GISP, Extreme Ultraviolet and Optical Science and Technology Graduate Interdisciplinary Studies Program
23844,ANTH-PMTZ-MA," Master of Arts in Anthropology, Plan A, Professional Methods and Techniques Specialization"
24158,MAST-SSZ-MAS," Master of Applied Statistics, Plan C, Statistical Science Specialization"
21916,LLAC-LGEZ-MA," Master of Arts in Languages, Literatures, and Cultures, German Specialization, Foreign Languages, Literatures, and Cultures Option, Plan A"
23358,ARTM-AREZ-BF," Major in Art (BFA), Art Education Concentration"
22035,CIM-HONORS, University Honors Program
22645,CAMB-CBZ-PHD," Ph.D. in Cell and Molecular Biology, Cancer Biology Specialization"
21179,BIAG-PHD, Ph.D. in Bioagricultural Sciences
20970,BLSC-BTNZ-BS," Major in Biological Science, Botany Concentration"
21618,ENHQ, Minor in Environmental Horticulture
21068,CHEM-NACZ-BS," Major in Chemistry, Non-ACS Certified Concentration"
22555,BUSA-ACCZ-BS," Major in Business Administration, Accounting Concentration"
21423,NRST-EZ-MNRS," Master of Natural Resources Stewardship, Plan C, Ecological Restoration Specialization"
23484,IFIQ, Interdisciplinary Minor in Food Industry Management
22641,OLSF," Certificate in Operations, Logistics and Supply Management"
22581,CITF, Certificate in Information Technology for Business Professionals
21739,CNLR-MS," Master of Science in Conservation Leadership, Plan A"
23545,CPSC-HCCZ-BS," Major in Computer Science, Human-Centered Computing Concentration"
22091,ICVQ, Interdisciplinary Minor in Conservation Biology
20810,SYSE-MS," Master of Science in Systems Engineering, Plan A"
21374,EVHL-IDHZ-MS," Master of Science in Environmental Health, Industrial Hygiene Specialization, Plan B"
21358,NRMG-BS, Major in Natural Resources Management
23214,CPEG-MS," Master of Science in Computer Engineering, Plan B"
22806,ARTM-SCLZ-BF," Major in Art (BFA), Sculpture Concentration"
23839,ANTH-IDVZ-MA," Master of Arts in Anthropology, Plan A, International Development Specialization"
21949,NAFS-DNMZ-BS," Major in Nutrition and Food Science, Dietetics and Nutrition Management Concentration, Childhood Nutrition Option"
21246,MDSQ, Minor in Merchandising
21321,EVHL-EPZ-PHD," Ph.D. in Environmental Health, Epidemiology Specialization"
20776,ENGR-BMEZ-ME," Master of Engineering, Plan C, Biomedical Engineering Specialization"
21782,CNLR-MS," Master of Science in Conservation Leadership, Plan B"
22289,IIDQ, Interdisciplinary Minor in International Development
23510,FSAN-FDZ-PHD," Ph.D. in Food Science and Nutrition, Food Science Specialization"
20904,BCHM-PPHZ-BS," Major in Biochemistry, Pre-Pharmacy Concentration"
22241,IGSQ, Interdisciplinary Minor in Global Environmental Sustainability
23878,GEOS-MS," Master of Science in Geosciences, Plan A"
23789,ANTH-BA, Major in Anthropology
22985,MUSQ, Minor in Music
23866,ENLD-MS," Master of Science in Environmental Leadership, Plan A"
22680,AGSC-TZ-MAGR," Master of Agriculture in Agricultural Sciences, Plan A, Teacher Development Specialization"
22072,BENR-PHD, Ph.D. in Bioengineering
22108,HAES-SPMZ-BS," Major in Health and Exercise Science, Sports Medicine Concentration"
20743,ENGR-CIVZ-ME," Master of Engineering, Plan C, Civil Engineering Specialization"
21995,LSPQ, Minor in Spanish
21429,MUSC-MUEZ-MM," Master of Music, Music Education Specialization, Kodaly Option"
22221,HORT-VTEZ-BS," Major in Horticulture, Viticulture and Enology Concentration"
24172,EVHL-OESZ-MS," Master of Science in Environmental Health, Occupational Ergonomics and Safety Specialization, Plan A"
22087,IBMQ, Interdisciplinary Minor in Biomedical Engineering
23550,CRWQ, Minor in Creative Writing
21866,LLAC-LGEZ-BA," Major in Languages, Literatures, and Cultures, German Concentration"
23470,FSAN-FDSZ-MS," Master of Science in Food Science and Nutrition, Plan A, Food Science Specialization"
21648,GEOQ, Minor in Geology
22349,PHIL-MA," Master of Arts in Philosophy, Plan A"
22412,ALCM-MLCM," Master in Arts Leadership and Cultural Management, Plan C (M.A.L.C.M.)"
23804,ANTH-BIOZ-BA," Major in Anthropology, Biological Anthropology Concentration"
21506,MICR-BS, Major in Microbiology
21287,RDHL-HLPZ-MS," Master of Science in Radiological Health Sciences, Health Physics Specialization, Plan A"
22353,ACBF-CT, Graduate Certificate in Advanced Clinical Behavioral Health
21614,DEMD-INTZ-MS," Master of Science in Design and Merchandising, Plan B, Interior Design Specialization"
20694,AREC-PHD, Ph.D. in Agricultural and Resource Economics
23652,FRRS-RCMZ-BS," Major in Forest and Rangeland Stewardship, Rangeland Conservation and Management Concentration"
23618,BUSA-MDZ-MBA," Master of Business Administration, Marketing Data Analytics Specialization"
22253,HDFS-MAFZ-MS," Master of Science in Human Development and Family Studies, Marriage and Family Therapy Specialization, Plan A"
22881,APAM-ADAZ-BS," Major in Apparel and Merchandising, Apparel Design and Production Concentration"
23669,FRRS-FRBZ-BS," Major in Forest and Rangeland Stewardship, Forest Biology Concentration"
23247,BUSA-CISZ-MS," Master of Science in Business Administration, Plan B, Computer Information Systems Specialization"
23121,SYEF-CT, Graduate Certificate in Systems Engineering Practice
23680,AGED-AGLZ-BS," Major in Agricultural Education, Agricultural Literacy Concentration"
23102,MVCF-DD-CT, Graduate Certificate in Military and Veteran Culture
21004,FWCB-FASZ-BS," Major in Fish, Wildlife, and Conservation Biology, Fisheries and Aquatic Sciences Concentration"
22264,HDFS-PVSZ-MS," Master of Science in Human Development and Family Studies, Plan A, Prevention Science Specialization"
23314,CSEF-CT, Graduate Certificate in Computer Systems Engineering
23086,BMSC-PHD, Ph.D. in Biomedical Sciences
